"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Household type","Number of households, 2006","Number of households, 2016","Median household total income (2015 constant dollars), 2005","Median household total income (2015 constant dollars), 2015","Median household total income (2015 constant dollars), % change","Median household after-tax income (2015 constant dollars), 2005","Median household after-tax income (2015 constant dollars), 2015","Median household after-tax income (2015 constant dollars), % change"
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Total – Household type including census family structure",70660,85015,62554,79750,27.5,53516,68121,27.3
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","  Census-family households",51495,58665,77211,102864,33.2,65252,86542,32.6
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","    Households consisting of only one census family without additional persons",47415,54185,76247,101339,32.9,64154,85047,32.6
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","      One couple, with or without children in their census family",39385,45960,84775,111972,32.1,70510,92698,31.5
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","        One couple, without children in their census family",16450,22390,68864,88239,28.1,57914,74938,29.4
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","        One couple, with children in their census family",22935,23570,97097,134980,39.0,80161,110777,38.2
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","      One lone-parent census family",8030,8225,38175,50005,31.0,36140,46279,28.1
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","    Other census-family households",4080,4485,89790,117803,31.2,78341,102437,30.8
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","  Non-census-family households",19165,26350,31016,39805,28.3,27685,35360,27.7
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Total – Household type including census family structure",3930,4505,48541,64594,33.1,43213,57131,32.2
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","  Census-family households",3210,3440,56520,79714,41.0,50391,69498,37.9
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","    Households consisting of only one census family without additional persons",2945,3210,54974,78043,42.0,49074,67820,38.2
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","      One couple, with or without children in their census family",2640,2805,59360,85362,43.8,52482,73198,39.5
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","        One couple, without children in their census family",1185,1465,45645,62464,36.8,40268,55589,38.0
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","        One couple, with children in their census family",1455,1340,73826,115627,56.6,63556,96439,51.7
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","      One lone-parent census family",305,410,24025,39552,64.6,24025,37931,57.9
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","    Other census-family households",260,230,65582,102656,56.5,60338,90240,49.6
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","  Non-census-family households",720,1060,18794,24038,27.9,18428,23566,27.9
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Total – Household type including census family structure",5315,6090,52814,60462,14.5,47037,53751,14.3
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","  Census-family households",4140,4325,63266,77120,21.9,55089,67689,22.9
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","    Households consisting of only one census family without additional persons",3820,4040,62229,75150,20.8,53716,65707,22.3
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","      One couple, with or without children in their census family",3290,3465,69592,82334,18.3,58392,70823,21.3
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","        One couple, without children in their census family",1615,1995,54220,66281,22.2,49507,59159,19.5
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","        One couple, with children in their census family",1680,1470,82437,111726,35.5,69073,93483,35.3
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","      One lone-parent census family",530,575,29755,39552,32.9,28124,38208,35.9
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","    Other census-family households",320,285,84157,97152,15.4,70482,87936,24.8
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","  Non-census-family households",1170,1770,23118,28288,22.4,21250,26336,23.9
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Total – Household type including census family structure",4530,5540,63377,71241,12.4,53455,61696,15.4
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","  Census-family households",3615,4045,69454,88037,26.8,59427,75296,26.7
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","    Households consisting of only one census family without additional persons",3470,3815,69789,87189,24.9,59465,74523,25.3
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","      One couple, with or without children in their census family",3050,3325,75441,93696,24.2,63024,79181,25.6
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","        One couple, without children in their census family",1445,1815,64417,73643,14.3,54935,64128,16.7
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","        One couple, with children in their census family",1605,1510,89396,122764,37.3,74067,102016,37.7
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","      One lone-parent census family",415,485,30831,43546,41.2,30743,41152,33.9
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","    Other census-family households",145,230,65648,106240,61.8,58014,94464,62.8
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","  Non-census-family households",915,1495,28764,35072,21.9,25669,31232,21.7
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Total – Household type including census family structure",12165,13615,55707,64433,15.7,48443,56733,17.1
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","  Census-family households",9455,9620,65967,83095,26.0,56865,71936,26.5
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","    Households consisting of only one census family without additional persons",8675,8880,64532,80585,24.9,55693,69778,25.3
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","      One couple, with or without children in their census family",7395,7620,70975,88832,25.2,60013,75829,26.4
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","        One couple, without children in their census family",3615,4275,56631,69346,22.5,49710,61002,22.7
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","        One couple, with children in their census family",3780,3350,84742,115602,36.4,72009,96994,34.7
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","      One lone-parent census family",1285,1255,31881,42325,32.8,30593,40471,32.3
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","    Other census-family households",785,740,82110,109568,33.4,72153,96154,33.3
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","  Non-census-family households",2715,4000,24271,30374,25.1,22252,27927,25.5
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Total – Household type including census family structure",24090,28950,58191,63561,9.2,50541,54992,8.8
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","  Census-family households",16695,19235,73680,82252,11.6,62811,70525,12.3
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","    Households consisting of only one census family without additional persons",15625,18000,73066,81236,11.2,62109,69330,11.6
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","      One couple, with or without children in their census family",13235,15375,79160,88205,11.4,67048,74749,11.5
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","        One couple, without children in their census family",6165,7845,68642,76121,10.9,57885,65245,12.7
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","        One couple, with children in their census family",7065,7535,89098,103808,16.5,75845,87515,15.4
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","      One lone-parent census family",2390,2620,40259,46226,14.8,37252,42319,13.6
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","    Other census-family households",1070,1235,89965,99584,10.7,79155,87501,10.5
